district,state,cluster,Youth Population %,Sex Ratio (Total),Sex Ratio (Birth),Adolescent Fertility %,Child Marriage %,Women Literacy %,Women 10+ Yrs School %,Modern FP Use %,Unmet FP Need %,ANC 1st Trimester %,ANC 4+ Visits %,Institutional Births %,Full Vaccination %,Stunting %,Underweight Children %,Women Anaemia %,Improved Sanitation %,Clean Fuel %,Health Insurance %,cluster_label,transition_stage,dividend_potential
Nicobars,Andaman & Nicobar Islands,3,22.98,973.31,927.41,1.77,11.36,87.54,53.53,57.24,9.53,62.77,71.65,97.81,-64.21,21.59,24.6,38.3,83.45,56.93,2.65,,mid,emerging
South Andaman,Andaman & Nicobar Islands,3,20.95,967.48,934.92,2.81,17.06,86.67,57.5,50.5,17.6,79.4,85.94,99.46,-76.29,21.11,17.43,57.66,89.33,91.92,1.15,,mid,emerging
Srikakulam,Andhra Pradesh,3,20.71,1139.51,1162.58,5.46,25.4,64.32,42.51,72.18,5.69,79.69,78.41,97.94,-82.79,19.66,21.44,62.59,71.58,74.7,75.63,,mid,emerging
Vizianagaram,Andhra Pradesh,2,20.56,1114.35,898.03,12.74,33.72,58.32,37.63,71.18,6.68,76.08,71.35,99.01,-76.75,36.4,32.21,64.04,61.74,60.3,76.69,,mid,emerging
Visakhapatnam,Andhra Pradesh,2,21.35,1066.43,974.03,9.5,25.41,69.54,45.98,67.68,4.79,79.44,58.59,95.25,-76.49,30.96,33.53,58.02,77.77,72.87,64.92,,mid,emerging
East Godavari,Andhra Pradesh,3,20.45,995.49,881.88,6.22,25.99,77.87,43.21,66.34,7.96,76.33,50.95,96.63,-58.95,23.11,22.35,62.96,77.73,80.34,66.36,,mid,emerging
West Godavari,Andhra Pradesh,3,21.48,998.55,832.54,13.35,22.09,76.97,46.47,77.24,2.95,82.21,62.73,98.7,-80.04,31.44,22.45,63.04,80.78,86.83,67.57,,mid,emerging
Krishna,Andhra Pradesh,3,20.44,1063.63,1139.25,9.6,25.32,76.85,46.17,78.1,2.49,81.49,73.3,98.93,-89.96,29.84,21.13,60.32,79.14,89.82,68.08,,mid,emerging
Guntur,Andhra Pradesh,2,22.41,1055.16,941.42,20.7,35.37,68.48,32.61,73.17,3.23,89.41,62.47,98.61,-76.17,23.82,26.88,59.51,83.44,91.65,71.08,,mid,emerging
Prakasam,Andhra Pradesh,2,23.08,1010.57,837.05,16.42,37.28,62.83,34.54,68.72,4.8,84.74,73.4,97.4,-51.93,22.56,24.65,60.43,78.43,90.78,67.58,,mid,emerging
Sri Potti Sriramulu Nello,Andhra Pradesh,2,20.8,1048.5,1010.6,14.87,23.84,70.46,38.67,71.74,3.11,88.95,72.95,97.0,65.27,29.22,27.84,59.39,81.75,84.56,72.27,,mid,emerging
Y.S.R.,Andhra Pradesh,2,24.1,1058.05,779.03,10.86,25.56,63.76,39.95,68.38,5.52,84.39,82.75,99.43,82.99,34.43,26.7,56.13,85.35,94.25,73.34,,mid,emerging
Kurnool,Andhra Pradesh,2,25.91,1044.64,917.86,12.37,36.94,56.97,33.38,70.03,2.11,78.55,74.25,88.52,67.04,50.53,46.28,58.58,73.48,78.08,73.32,,mid,emerging
Anantapur,Andhra Pradesh,2,24.26,1047.36,881.3,13.6,37.29,63.55,31.25,67.58,6.35,80.34,66.61,94.7,-81.78,35.96,40.59,50.45,71.25,86.42,73.24,,mid,emerging
Chittoor,Andhra Pradesh,2,22.59,1024.32,1019.3,19.73,28.06,69.32,40.33,68.87,6.0,80.25,65.28,97.1,-66.55,27.06,27.91,51.8,74.62,86.63,70.66,,mid,emerging
Tawang,Arunachal Pradesh,0,27.33,1062.73,833.74,1.41,11.92,59.08,39.24,56.33,14.63,79.88,37.61,84.18,67.53,30.37,9.04,59.07,81.7,88.1,33.5,,mid,emerging
West Kameng,Arunachal Pradesh,0,21.68,970.52,766.48,1.37,12.46,73.69,43.58,47.81,17.03,45.13,27.59,93.57,-56.19,24.23,13.44,37.36,88.88,88.93,38.29,,mid,emerging
East Kameng,Arunachal Pradesh,0,31.23,985.38,995.41,8.05,26.51,62.16,31.84,57.44,9.74,41.66,29.12,75.96,60.83,35.67,14.24,26.21,75.55,49.47,25.05,,mid,emerging
Papum Pare,Arunachal Pradesh,0,30.51,1039.37,1065.42,5.95,25.43,78.22,50.46,41.03,20.31,38.39,39.28,87.99,60.72,29.72,15.62,38.44,75.7,81.3,26.94,,mid,emerging
Upper Subansiri,Arunachal Pradesh,0,27.31,1052.16,1134.79,13.19,26.66,64.31,31.8,48.44,17.31,34.64,32.11,76.95,68.45,36.79,19.18,36.69,80.93,32.77,21.49,,mid,emerging
Upper Siang,Arunachal Pradesh,0,25.8,894.05,983.18,7.06,17.05,74.37,34.75,54.03,11.94,54.51,34.01,75.98,-61.42,30.37,12.0,29.17,91.75,36.32,34.6,,mid,emerging
Changlang,Arunachal Pradesh,0,28.7,963.33,1019.25,9.03,16.75,77.6,30.51,46.34,6.73,65.0,46.94,75.05,70.93,26.3,25.03,57.21,82.3,34.08,40.54,,mid,emerging
Lower Subansiri,Arunachal Pradesh,0,22.0,1015.7,1369.73,2.01,16.01,76.8,49.91,58.0,8.52,53.37,39.08,89.77,-66.45,30.69,8.06,40.46,82.8,60.81,24.45,,mid,emerging
Dibang Valley,Arunachal Pradesh,3,22.06,982.93,1054.47,0.67,20.71,77.83,43.17,49.74,4.63,60.67,40.38,85.52,-90.71,16.88,15.95,62.87,94.99,49.26,28.69,,mid,emerging
Lower Dibang Valley,Arunachal Pradesh,0,24.52,1009.65,884.08,1.55,13.79,81.56,51.89,56.4,4.85,56.34,48.62,90.12,73.8,14.26,9.65,34.6,89.88,57.38,36.79,,mid,emerging
Anjaw,Arunachal Pradesh,0,23.18,939.24,957.37,5.06,21.8,67.89,28.81,50.9,6.79,52.0,32.32,77.95,-92.99,23.56,16.01,35.86,86.82,29.01,17.47,,mid,emerging
East Siang,Arunachal Pradesh,0,23.09,1058.6,1161.58,4.59,14.91,83.76,55.56,35.85,17.56,39.87,34.26,90.84,-48.81,24.62,10.27,35.2,83.89,52.44,30.5,,mid,emerging
Kra Daadi,Arunachal Pradesh,0,33.52,976.12,867.02,12.86,24.84,55.3,27.4,39.88,16.51,62.45,18.27,73.54,-63.58,28.8,14.54,22.6,89.26,78.33,23.97,,mid,emerging
Kurung Kumey,Arunachal Pradesh,0,30.96,997.3,868.54,7.65,19.8,76.45,34.66,47.89,16.37,45.24,44.11,69.16,-71.41,29.2,13.85,34.79,78.33,57.28,13.43,,mid,emerging
Lohit,Arunachal Pradesh,0,27.67,1001.05,838.76,5.4,20.0,73.43,37.25,43.47,14.57,66.87,39.61,90.24,-74.04,24.46,12.91,47.21,83.66,63.88,31.88,,mid,emerging
Longding,Arunachal Pradesh,0,29.92,926.46,961.12,2.2,7.88,71.91,27.7,49.0,7.29,65.8,39.58,64.51,52.68,15.75,13.77,34.12,83.45,22.41,23.81,,mid,emerging
Namsai,Arunachal Pradesh,0,30.3,982.16,867.32,11.3,26.71,67.14,22.19,48.08,8.71,61.6,35.37,63.6,67.17,28.73,17.7,58.56,75.11,28.7,30.86,,mid,emerging
Siang,Arunachal Pradesh,0,21.84,967.97,1010.88,0.46,9.95,87.36,50.58,61.04,4.99,50.83,31.13,81.1,-60.25,21.29,8.82,23.94,91.2,27.6,26.11,,mid,emerging
Tirap,Arunachal Pradesh,0,26.83,963.97,865.11,4.04,12.04,75.09,40.2,39.4,10.64,59.3,35.68,70.24,66.33,38.62,16.03,31.99,86.67,50.42,30.84,,mid,emerging
West Siang,Arunachal Pradesh,0,23.69,1018.03,1060.28,4.71,18.89,77.92,46.29,38.93,15.5,49.51,30.42,84.57,-55.4,24.49,16.23,30.54,87.74,57.13,26.56,,mid,emerging
Kokrajhar,Assam,2,29.49,1024.62,1003.13,11.29,36.21,73.73,27.54,57.95,10.01,67.02,36.93,81.91,51.06,34.62,35.15,59.45,72.2,43.32,50.18,,mid,emerging
Goalpara,Assam,2,29.98,1006.91,1026.88,13.34,41.77,74.06,23.38,55.09,7.43,65.25,44.06,92.34,70.32,38.92,35.4,64.88,75.31,36.26,71.13,,mid,emerging
Barpeta,Assam,1,30.05,1026.78,1007.49,14.16,40.09,74.79,31.66,47.36,12.26,62.15,43.59,87.6,54.62,29.78,26.22,64.83,63.65,38.66,58.9,,mid,low
Morigaon,Assam,1,32.11,1054.51,1069.58,11.56,39.09,78.68,24.45,56.7,6.51,64.0,41.95,88.3,73.39,43.23,30.46,64.24,62.34,37.56,62.52,,mid,low
Lakhimpur,Assam,2,28.09,982.98,984.87,8.19,36.33,83.86,42.11,43.59,9.81,61.02,51.67,96.16,69.04,38.5,34.36,65.42,74.22,36.07,66.97,,mid,emerging
Dhemaji,Assam,2,30.64,1027.58,1022.24,10.81,32.04,81.47,43.64,45.02,7.11,76.16,62.16,87.25,89.71,37.18,25.67,62.88,70.75,21.57,66.83,,mid,emerging
Tinsukia,Assam,2,25.37,1022.82,884.46,6.1,19.82,70.51,25.64,36.48,11.02,70.7,63.14,82.63,-75.03,32.82,32.15,72.84,66.65,40.87,60.02,,mid,emerging
Dibrugarh,Assam,2,24.03,1002.19,979.12,4.81,23.02,76.58,33.65,43.62,8.73,75.78,75.64,93.09,-83.84,27.33,31.96,70.79,75.28,44.74,58.82,,mid,emerging
Golaghat,Assam,2,24.3,1001.77,1145.17,9.5,20.74,75.12,27.86,35.66,10.9,76.11,65.74,90.36,-72.4,26.28,25.5,77.15,73.14,33.12,69.34,,mid,emerging
Dima Hasao,Assam,0,27.7,959.26,908.29,5.41,16.49,87.71,42.36,44.91,9.72,58.93,46.88,89.54,-63.61,30.59,21.69,60.49,83.79,48.18,61.87,,mid,emerging
Cachar,Assam,1,30.89,1012.38,991.36,8.47,29.86,77.18,25.83,38.15,15.64,51.99,32.69,79.2,70.37,28.67,38.21,57.36,57.64,42.96,57.87,,mid,low
Karimganj,Assam,1,32.25,999.79,884.74,9.91,27.67,80.66,19.58,54.86,8.6,54.84,42.78,76.35,75.05,29.09,52.88,52.01,61.45,39.61,64.44,,mid,low
Hailakandi,Assam,1,33.68,1054.08,950.71,10.36,32.94,82.19,25.31,49.47,8.6,77.55,43.13,83.03,68.62,42.86,42.44,61.36,60.0,35.23,53.63,,mid,low
Bongaigaon,Assam,1,28.93,998.48,881.29,15.37,41.66,75.76,28.6,45.34,16.07,65.12,33.91,84.53,67.93,46.2,35.32,70.63,72.48,49.84,57.6,,mid,low
Chirang,Assam,1,27.97,1014.51,905.78,13.73,30.85,71.47,23.03,55.57,9.81,55.92,56.53,83.65,71.06,42.7,39.69,65.19,77.08,44.45,61.49,,mid,low
Kamrup,Assam,0,25.57,996.72,701.36,15.72,21.94,79.6,39.19,32.26,17.64,56.99,46.86,85.03,63.59,22.64,19.69,71.46,68.74,57.41,47.04,,mid,emerging
Kamrup Metropolitan,Assam,3,19.96,946.3,985.61,10.06,21.86,86.01,49.05,41.45,8.78,77.59,68.86,89.11,-53.57,25.36,25.0,74.61,65.18,85.06,45.5,,mid,emerging
Nalbari,Assam,2,24.48,1042.72,993.71,8.63,28.11,83.88,41.62,38.68,13.21,70.66,55.9,91.82,-65.52,27.49,26.69,66.37,68.12,51.07,52.52,,mid,emerging
Baksa,Assam,2,26.54,1056.88,1097.06,12.26,24.9,74.8,27.78,47.34,12.51,61.05,56.01,89.88,70.46,41.17,33.98,73.56,68.94,35.18,68.99,,mid,emerging
Darrang,Assam,1,29.24,928.99,756.89,16.05,42.76,75.55,27.51,36.47,14.79,56.48,37.48,84.41,57.12,42.04,33.05,70.39,67.85,30.11,53.65,,mid,low
Udalguri,Assam,1,27.2,1086.83,1255.21,4.65,32.03,70.02,23.82,36.2,14.6,50.1,49.81,86.15,-38.25,33.78,32.54,81.49,73.82,34.02,70.57,,mid,low
Biswanath,Assam,1,28.68,996.03,1013.76,8.99,25.26,69.15,23.01,56.13,5.25,41.21,46.49,84.25,66.2,42.72,40.99,64.36,76.62,34.98,68.35,,mid,low
Charaideo,Assam,2,25.8,1027.15,1040.11,3.83,22.59,71.93,26.16,43.91,8.26,74.05,64.53,88.21,-73.97,38.95,34.75,72.27,75.93,27.3,64.9,,mid,emerging
Dhubri,Assam,1,32.27,999.53,913.51,22.39,50.78,69.52,20.43,53.23,11.46,49.9,37.56,64.17,71.64,48.51,37.76,63.23,61.81,40.72,59.38,,mid,low
Hojai,Assam,1,27.48,985.64,1017.49,15.64,30.91,83.24,23.06,48.19,13.19,52.67,51.34,82.05,55.45,39.27,28.35,56.34,63.14,52.03,67.44,,mid,low
Jorhat,Assam,2,21.58,1008.55,832.77,12.94,24.91,85.09,42.94,32.33,10.37,78.32,66.95,96.49,69.16,38.68,33.17,71.83,80.36,48.31,60.05,,mid,emerging
Karbi Anglong,Assam,2,29.92,993.98,882.18,9.09,26.13,78.78,30.26,41.06,9.31,64.78,63.93,74.87,64.32,31.61,28.24,58.97,75.16,33.39,54.09,,mid,emerging
Majuli,Assam,2,26.22,995.39,753.99,10.36,25.46,83.36,41.71,31.31,11.59,76.08,72.24,90.29,78.62,35.44,22.21,67.81,65.62,19.33,60.82,,mid,emerging
Nagaon,Assam,1,31.06,1050.35,969.26,14.96,42.57,78.44,22.13,46.77,12.31,73.09,59.44,83.67,58.23,38.89,32.36,61.03,66.09,38.57,59.39,,mid,low
Sivasagar,Assam,3,23.84,988.58,914.92,12.76,27.87,86.64,47.06,39.5,8.26,85.13,80.89,95.25,-77.62,26.1,25.93,67.6,82.26,45.54,60.66,,mid,emerging
Sonitpur,Assam,2,26.61,1026.99,1325.27,6.51,24.02,76.91,24.25,58.89,5.76,48.76,45.49,83.49,70.9,36.67,21.85,63.62,72.15,45.75,66.92,,mid,emerging
South Salmara Mancachar,Assam,1,36.67,967.56,910.53,22.0,44.72,63.46,20.89,60.75,7.99,60.14,35.33,71.71,65.82,38.89,27.86,57.13,58.97,28.47,68.16,,mid,low
West Karbi Anglong,Assam,1,31.65,958.74,1104.77,6.02,21.34,73.89,21.69,43.31,7.1,55.54,46.72,72.51,47.94,40.85,31.1,57.94,76.67,17.67,63.07,,mid,low
Pashchim Champaran,Bihar,1,36.52,1087.97,903.77,12.53,39.06,52.53,21.56,40.19,12.09,54.95,25.39,79.45,62.07,43.47,30.26,50.58,43.27,31.42,19.96,,mid,low
Purba Champaran,Bihar,1,39.96,1185.07,840.78,12.74,49.24,50.15,20.09,40.84,17.19,45.44,21.65,61.51,68.29,49.11,37.85,57.33,48.33,44.17,19.38,,mid,low
Sheohar,Bihar,1,36.19,1066.04,1016.53,3.26,34.61,52.5,20.99,49.65,10.41,62.78,25.33,74.27,62.91,34.44,42.24,61.64,57.91,31.3,18.12,,mid,low
Sitamarhi,Bihar,1,38.2,1209.07,1008.61,13.06,46.75,51.74,19.17,41.04,17.02,57.77,20.28,64.36,66.62,54.18,40.82,61.68,50.65,40.48,20.7,,mid,low
Madhubani,Bihar,1,34.69,1227.33,804.99,10.17,39.18,53.15,26.48,39.49,17.72,67.52,34.88,73.72,74.09,43.33,36.01,61.44,38.21,39.96,19.15,,mid,low
Supaul,Bihar,1,39.76,1125.53,884.39,17.04,55.91,42.14,16.22,56.22,12.1,59.03,30.94,80.35,73.56,42.32,45.0,60.7,50.7,14.96,14.21,,mid,low
Araria,Bihar,1,40.54,1094.2,885.15,13.28,52.03,43.65,16.77,42.75,15.87,41.64,25.83,66.21,61.61,49.89,47.77,67.94,32.24,15.17,19.46,,mid,low
Kishanganj,Bihar,1,39.94,1199.27,1016.46,10.03,36.56,48.03,14.99,21.0,21.72,37.63,17.13,54.63,67.32,38.75,41.11,65.12,52.37,15.25,8.05,,mid,low
Purnia,Bihar,1,40.23,1128.44,938.24,21.43,51.18,47.52,19.23,24.34,20.24,26.32,11.13,68.87,62.7,43.51,47.07,66.03,35.63,19.28,10.17,,mid,low
Katihar,Bihar,1,38.95,1053.26,887.51,16.05,49.36,49.69,19.83,26.42,22.42,40.91,15.3,66.87,73.65,43.94,48.07,68.37,44.55,16.93,8.37,,mid,low
Madhepura,Bihar,1,38.32,1147.68,1057.97,20.79,51.99,47.63,23.23,47.63,11.06,53.75,20.87,74.95,72.04,46.3,43.49,65.72,34.64,13.35,9.54,,mid,low
Saharsa,Bihar,1,38.83,1128.16,1034.03,23.47,51.0,43.13,20.94,37.55,16.66,34.8,11.66,70.39,72.19,47.78,42.68,65.3,40.52,25.19,12.82,,mid,low
Darbhanga,Bihar,1,37.06,1121.86,811.85,10.27,45.07,49.38,22.72,48.84,12.74,51.82,24.87,69.9,66.27,45.44,39.24,60.75,48.72,41.64,25.33,,mid,low
Muzaffarpur,Bihar,1,34.9,1097.22,684.56,8.17,32.86,62.99,33.78,55.73,12.05,55.93,28.18,72.51,74.93,42.62,34.69,58.88,55.18,41.54,13.22,,mid,low
Gopalganj,Bihar,1,34.56,1156.69,942.68,7.56,27.96,63.31,32.91,39.52,19.41,53.16,27.88,85.92,75.83,34.16,29.23,53.77,60.1,39.35,12.73,,mid,low
Siwan,Bihar,1,31.54,1140.73,1060.3,2.58,21.29,70.9,38.85,42.35,15.41,61.04,30.26,86.36,76.12,36.65,30.79,53.12,47.71,48.04,8.2,,mid,low
Saran,Bihar,1,35.26,1076.82,779.29,6.15,26.24,65.56,35.54,31.42,17.34,44.36,30.74,72.97,71.95,39.67,44.96,62.8,37.15,36.83,9.41,,mid,low
Vaishali,Bihar,1,34.69,1069.05,1117.97,8.06,44.86,62.41,33.96,40.99,16.71,46.72,24.52,81.58,70.98,38.26,38.36,63.13,52.6,40.91,13.49,,mid,low
Samastipur,Bihar,1,37.82,1070.62,889.65,14.92,49.77,54.25,26.48,53.77,11.13,53.36,23.53,83.38,71.4,44.0,42.76,60.51,48.77,36.11,19.04,,mid,low
Begusarai,Bihar,1,36.41,1075.89,1058.37,12.08,49.48,62.31,34.07,46.19,15.95,46.54,21.56,85.99,65.75,37.76,35.64,62.89,62.23,45.23,13.23,,mid,low
Khagaria,Bihar,1,41.25,1110.9,918.49,15.08,44.85,51.82,26.63,34.92,15.44,44.6,17.43,74.15,64.68,34.82,36.4,59.46,65.03,33.16,15.61,,mid,low
Bhagalpur,Bihar,1,35.08,985.89,878.54,14.27,42.36,65.56,35.13,46.78,12.82,53.32,27.62,77.17,66.79,39.95,40.42,73.02,60.94,49.16,16.27,,mid,low
Banka,Bihar,1,36.1,1082.8,990.95,19.15,49.41,55.73,22.56,55.68,9.7,70.74,31.74,79.79,88.14,46.74,45.76,65.86,38.19,32.34,13.64,,mid,low
Munger,Bihar,1,31.31,1032.15,966.44,9.58,34.65,69.5,44.43,49.02,10.31,68.68,36.79,93.24,73.4,35.45,39.47,71.35,62.83,59.39,15.24,,mid,low
Lakhisarai,Bihar,1,37.75,1074.15,885.52,12.96,56.08,57.89,29.96,50.35,11.7,66.12,28.04,75.78,68.93,42.66,45.05,72.55,51.55,42.56,15.06,,mid,low
Sheikhpura,Bihar,1,37.5,1074.01,887.89,10.2,46.13,55.01,28.26,50.27,3.15,68.77,28.35,89.2,82.75,53.55,37.64,69.52,54.16,40.25,9.74,,mid,low
Nalanda,Bihar,1,37.2,1048.05,958.79,9.95,41.95,56.07,28.8,52.36,7.49,64.71,29.31,80.31,75.22,42.61,46.66,71.04,52.53,40.99,12.8,,mid,low
Patna,Bihar,1,32.71,949.91,1002.08,10.12,26.59,67.64,43.63,42.32,14.98,51.66,17.92,89.14,56.6,34.49,39.63,67.12,61.02,64.6,10.17,,mid,low
Bhojpur,Bihar,1,34.16,1002.91,872.27,5.34,31.16,64.1,34.57,47.88,11.76,42.74,33.48,86.9,61.9,40.65,44.03,73.58,45.87,42.86,9.63,,mid,low
Buxar,Bihar,1,32.68,1005.18,886.29,7.19,30.8,68.14,33.31,44.6,9.06,61.54,27.44,89.45,75.02,39.64,45.31,66.21,52.36,44.65,11.44,,mid,low
Kaimur (Bhabua),Bihar,1,35.81,1018.15,943.98,2.62,27.08,66.04,29.45,59.69,3.7,62.39,25.58,83.33,88.85,44.1,47.2,70.32,59.08,29.03,18.07,,mid,low
Rohtas,Bihar,1,32.67,1039.89,923.67,4.55,30.34,76.51,42.56,55.66,5.94,64.86,34.22,89.08,86.84,39.96,48.2,64.9,68.95,47.37,17.19,,mid,low
Aurangabad,Bihar,1,35.16,1074.09,886.17,7.34,27.31,67.56,36.87,53.49,7.15,53.57,29.31,77.48,89.74,41.23,48.66,60.45,47.12,38.92,15.35,,mid,low
Gaya,Bihar,1,36.29,1079.81,863.35,7.21,42.83,59.4,30.73,52.45,5.91,63.18,25.07,76.58,85.03,47.38,43.45,64.33,44.41,34.69,9.71,,mid,low
Nawada,Bihar,1,33.43,1099.08,864.97,9.44,43.32,62.1,37.25,45.14,6.5,69.49,31.62,79.94,74.45,49.43,37.29,70.41,47.92,40.74,8.09,,mid,low
Jamui,Bihar,1,37.0,1089.67,986.4,15.36,51.85,48.68,20.64,47.7,9.52,73.79,37.91,73.39,66.39,43.04,37.48,75.16,37.57,40.22,14.29,,mid,low
Jehanabad,Bihar,1,36.0,1084.54,1066.49,11.97,41.6,63.18,30.53,45.26,12.95,58.4,17.43,89.11,70.27,41.25,51.74,68.05,45.51,34.25,13.18,,mid,low
Arwal,Bihar,1,36.64,1075.58,814.52,8.78,37.47,62.54,32.88,42.75,12.24,57.36,34.51,79.16,84.22,45.62,52.94,66.85,43.42,29.3,15.55,,mid,low
Chandigarh,Chandigarh,3,23.29,917.45,837.77,0.76,9.72,82.96,59.61,55.6,6.89,82.34,78.74,96.87,-80.93,25.3,20.56,60.3,84.98,95.81,32.23,,mid,emerging
Koriya,Chhattisgarh,2,26.85,987.34,864.18,4.96,22.89,77.08,36.95,49.37,12.58,69.71,70.02,80.75,87.05,32.12,31.8,64.37,73.34,30.16,62.75,,mid,emerging
Jashpur,Chhattisgarh,2,27.81,1037.7,950.54,5.51,21.93,75.08,34.93,47.16,12.92,56.36,48.57,85.62,94.19,35.82,33.58,61.47,72.81,14.76,80.58,,mid,emerging
Raigarh,Chhattisgarh,2,24.1,1012.97,811.8,1.32,11.54,75.96,38.3,56.02,10.31,57.67,55.41,87.73,90.87,39.09,28.0,62.16,66.3,29.75,66.28,,mid,emerging
Korba,Chhattisgarh,0,25.4,1034.28,988.88,1.24,7.24,77.59,37.11,46.93,13.41,49.67,49.34,75.4,-68.37,34.66,27.92,66.43,73.33,35.49,60.56,,mid,emerging
Janjgir - Champa,Chhattisgarh,2,25.32,998.69,794.51,3.53,10.17,77.02,37.28,66.32,6.25,63.08,62.82,86.24,85.52,32.45,30.22,66.28,78.77,24.78,73.97,,mid,emerging
Kabeerdham,Chhattisgarh,2,27.38,983.31,825.97,1.52,15.28,67.81,32.59,72.18,6.24,67.19,58.89,91.72,95.41,37.94,27.25,43.64,80.26,24.96,72.09,,mid,emerging
Rajnandgaon,Chhattisgarh,2,23.95,1014.34,988.14,1.44,3.77,82.41,38.85,70.47,6.33,79.84,76.07,95.49,90.98,27.6,30.97,58.27,79.16,27.44,80.82,,mid,emerging
Mahasamund,Chhattisgarh,2,23.99,1057.22,1076.6,1.24,9.48,72.62,31.24,64.19,5.53,69.42,65.79,92.89,82.08,36.82,25.81,63.03,84.23,30.38,76.17,,mid,emerging
Dhamtari,Chhattisgarh,3,23.57,1056.69,1119.63,0.98,5.84,83.69,40.92,78.29,4.53,61.22,70.4,94.25,-80.61,30.45,28.92,59.57,89.82,30.89,86.83,,mid,emerging
Uttar Bastar Kanker,Chhattisgarh,3,21.79,1029.74,1131.21,0.77,5.37,78.45,40.26,69.55,3.03,78.14,77.9,94.07,-89.5,24.81,36.06,65.21,80.49,25.92,84.84,,mid,emerging
Narayanpur,Chhattisgarh,1,28.84,1077.03,1101.92,2.54,11.11,53.84,26.49,52.79,9.18,60.14,59.1,74.16,81.67,43.73,39.49,71.97,52.79,19.52,83.09,,mid,low
Bijapur,Chhattisgarh,1,30.48,1068.72,1045.49,5.24,18.27,46.29,24.19,32.36,15.49,53.07,56.85,63.62,78.35,53.83,46.13,72.14,30.63,18.48,73.53,,mid,low
Balod,Chhattisgarh,3,20.71,987.98,1067.87,0.0,3.26,84.66,46.25,79.86,2.57,72.73,81.46,97.35,-85.21,33.56,35.95,56.38,83.76,33.29,79.52,,mid,emerging
Baloda Bazar,Chhattisgarh,2,27.2,1070.09,1021.48,2.68,11.4,75.01,38.71,62.77,5.34,59.28,49.47,78.14,77.32,40.85,34.11,61.24,78.85,24.86,66.05,,mid,emerging
Balrampur,Chhattisgarh,1,29.17,979.66,887.35,9.07,24.6,66.81,32.16,46.79,16.0,76.39,52.09,78.89,76.11,35.14,38.84,63.35,57.34,13.21,62.27,,mid,low
Bastar,Chhattisgarh,1,26.52,1068.01,1042.33,5.96,17.29,54.62,25.32,47.65,12.08,57.25,55.07,63.54,57.33,48.09,45.22,77.2,60.99,31.56,69.28,,mid,low
Bemetara,Chhattisgarh,2,27.0,972.49,987.18,4.9,15.12,74.14,32.99,71.21,5.03,77.42,54.61,94.98,93.43,38.35,27.62,47.01,80.48,18.86,63.38,,mid,emerging
Bilaspur,Chhattisgarh,0,24.78,1033.14,1070.45,5.2,11.19,74.32,37.38,50.28,10.39,52.45,46.87,79.44,52.5,25.73,28.0,58.5,80.47,42.19,60.37,,mid,emerging
Dantewada,Chhattisgarh,2,27.89,1098.42,1295.98,6.65,16.31,50.32,24.2,54.44,7.09,65.34,68.2,90.45,77.6,45.61,45.84,76.01,60.48,34.56,82.2,,mid,emerging
Durg,Chhattisgarh,3,22.87,956.54,812.37,0.64,4.33,84.59,52.69,76.41,4.93,71.08,69.85,96.71,82.67,38.87,27.74,51.66,89.47,76.31,67.01,,mid,emerging
Gariyaband,Chhattisgarh,2,26.48,1048.17,1011.38,3.62,9.74,72.08,27.77,68.34,3.47,57.99,57.84,87.56,83.44,28.94,22.09,64.64,80.98,17.05,79.82,,mid,emerging
Kodagaon,Chhattisgarh,2,25.71,1032.98,1111.08,3.03,11.75,56.13,24.67,60.54,3.73,69.37,64.05,78.72,70.13,37.59,42.15,79.74,79.52,12.36,80.58,,mid,emerging
Mungeli,Chhattisgarh,2,29.34,1021.73,1017.29,3.06,20.48,68.55,32.16,60.32,11.42,73.25,67.32,69.81,79.7,30.14,30.63,54.48,80.68,22.85,67.98,,mid,emerging
Raipur,Chhattisgarh,2,24.19,982.79,999.81,3.31,8.79,81.31,40.1,72.11,6.1,82.42,65.6,90.71,74.15,32.22,32.33,59.09,83.95,60.47,76.92,,mid,emerging
Sukma,Chhattisgarh,1,29.6,1078.19,924.9,2.7,18.88,40.48,15.87,51.37,7.61,58.94,73.99,81.22,73.33,41.78,37.39,78.42,35.53,14.38,78.11,,mid,low
Surajpur,Chhattisgarh,2,28.54,949.97,915.74,4.5,34.28,68.25,30.68,50.09,14.13,55.32,48.85,85.87,78.73,27.58,32.28,60.74,75.4,23.95,75.67,,mid,emerging
Surguja,Chhattisgarh,2,27.47,1035.96,1138.72,6.41,18.07,73.68,37.73,49.12,15.01,70.35,57.71,85.34,84.55,29.41,30.55,58.32,75.76,24.47,65.14,,mid,emerging
Diu,Dadra and Nagar Haveli & Daman and Diu,3,21.18,1331.64,982.8,0.0,2.28,90.77,52.68,52.21,7.7,85.72,90.71,95.65,-92.9,33.94,28.54,50.27,89.69,85.32,63.98,,mid,emerging
Daman,Dadra and Nagar Haveli & Daman and Diu,3,22.66,754.98,766.66,1.35,22.82,85.88,42.85,48.91,21.07,62.72,70.53,97.39,-78.33,30.04,29.26,60.8,67.07,92.05,32.88,,mid,emerging
Dadra & Nagar Haveli,Dadra and Nagar Haveli & Daman and Diu,2,26.8,817.44,821.71,5.52,29.98,72.82,31.48,64.34,8.97,81.97,90.9,96.32,100.0,42.38,42.06,64.41,63.08,74.33,58.81,,mid,emerging
